File Path,Label,Energy,Peak Amplitude,Zero-Crossing Rate,RMS,Temporal Centroid,Fundamental Frequency,Spectral Energy,Spectral Density,Spectral Flatness,Spectral Slope,Harmonic Ratio
all_sounds\de-DE_Guten Abend_de-DE_DieterVoice.wav,1,0.0084889595988522,0.7645874,0.111214052772013,0.09213555,0.3488880299284042,80.04562587172671,351877.22,0.5221144,0.29398325,-0.0002034832132536328,2338.90599328703
all_another_words_sounds\fr-FR_Quel temps fait-il aujourd'hui__fr-FR_NicolasV3Voice.wav,0,0.0087737920907268,0.60705566,0.1610423607805806,0.09366853,0.8961045466437397,143.5576262947343,566290.44,0.3196122,0.015108957,-0.00012124261758967965,6286.194574965433
all_another_words_sounds\fr-FR_Le film était incroyable._fr-FR_ReneeV3Voice.wav,0,0.0100065548155547,0.40847778,0.1740599714421704,0.10003277,0.6896470572997031,191.04959403865598,646315.94,0.30503783,0.01756715,-0.00011774998044286038,6799.134914162349
all_sounds\en-US_Good evening_en-US_AllisonVoice.wav,1,0.01427466204857,0.7466736,0.0539451305183761,0.11947662,0.3609415961356653,222.5375753610288,593008.0,0.35442796,0.28670558,-0.0001500468407763601,2843.4554261371145
all_sounds\pt-BR_Bom dia_pt-BR_IsabelaVoice.wav,1,0.019033786585378,0.7159729,0.0570194199674908,0.13796298,0.2438842066241445,199.88470452674702,683471.75,0.4202769,0.32842788,-0.0001634378741836232,2285.5547847372814
all_another_words_sounds\en-GB_I fancy a cuppa._en-GB_CharlotteV3Voice.wav,0,0.006973752555959,0.5100708,0.2975953079178886,0.083509,0.5571171906548391,196.23205966242344,365268.9,0.39318824,0.07186129,-0.00013427142721387272,6501.778239843793
all_another_words_sounds\fr-FR_J'ai regardé la télé hier soir._fr-FR_ReneeV3Voice.wav,0,0.0112942711178795,0.44677734,0.1815656565656565,0.10627451,0.8215458916651902,210.58762568223702,893141.7,0.38904938,0.0149759585,-0.0001366277573390813,5972.563322906133
all_another_words_sounds\ko-KR_주말에 뭐 할 거야__ko-KR_JinV3Voice.wav,0,0.0027287538949545,0.31469727,0.1022997835497835,0.052237477,0.4903272330114671,229.81262945723262,154914.11,0.19445755,0.25347027,-7.221355899523035e-05,8267.3644962622
all_sounds\en-US_Good morning_en-US_MichaelExpressive.wav,1,0.0160568516019364,0.54867554,0.0589238556338028,0.12671563,0.3764172359796202,138.24943789074146,448283.12,0.5582362,0.0051988405,-0.00025324289470781173,1967.3725932639109
all_sounds\pt-BR_Oi_pt-BR_IsabelaV3Voice.wav,1,0.0044917772124579,0.34075928,0.0412291933418694,0.06702072,0.1627901975450453,128.35522676836666,107769.41,0.17595285,0.0019688248,-8.234076119665856e-05,6960.396920441721
all_another_words_sounds\de-DE_Wie war dein Tag_ _de-DE_BirgitV2Voice.wav,0,0.0104071269702974,0.63720703,0.1639681486396814,0.102015324,0.3898430541075238,205.18450468538782,481801.0,0.37871072,0.06611746,-0.00015555004709775756,5684.570278352731
all_sounds\de-DE_Grüß Gott_de-DE_BirgitVoice.wav,1,0.0149750206371185,0.7510376,0.2055810800632673,0.12237246,0.3467453716812199,176.11159549776207,610796.75,0.5302885,0.31815717,-0.0001880298734024639,3131.2677814194944
all_another_words_sounds\fr-CA_Il fait froid aujourd'hui._fr-CA_LouiseV3Voice.wav,0,0.0057232781612511,0.5588989,0.1955555555555555,0.07565235,0.6624873584952206,214.26730129328948,348125.8,0.28636315,0.025703926,-0.00010477985067574909,7457.933086558459
all_sounds\en-US_Good morning_en-US_AllisonV3Voice.wav,1,0.0139144480084567,0.48703003,0.0983507642799678,0.11795952,0.3685510559683531,234.81237006615888,531336.06,0.29707035,0.029301241,-0.00013532644120103012,5620.609834896796
all_sounds\de-DE_Hi_de-DE_DieterVoice.wav,1,0.0020245982169259,0.35668945,0.1191434222191911,0.044995535,0.1364721821784026,95.04528219476761,45601.117,0.18648177,0.53428215,-5.5804900404374435e-05,6917.355575039839
all_sounds\de-DE_Guten Nacht_de-DE_DieterVoice.wav,1,0.0071635786082081,0.75961304,0.1438723880885249,0.084637925,0.2551451619339573,82.67497755840829,284887.2,0.36826134,0.32607505,-0.00015279029370493709,4160.496348275381
all_sounds\fr-CA_Comment allez-vous__fr-CA_LouiseV3Voice.wav,1,0.0112514684107396,0.5179138,0.133051948051948,0.10607294,0.4503296565658564,207.41619746669244,532299.06,0.2953559,0.022497928,-0.00012413412112775136,5943.411118988607
all_sounds\de-DE_Was gibt’s__de-DE_ErikaV3Voice.wav,1,0.0032767868041992,0.5812988,0.5198601398601399,0.057243224,0.345591256283044,140.98792123424138,143948.42,0.38949627,0.112382494,-3.771550786833804e-05,10050.795450195223
all_sounds\en-US_Good evening_en-US_AllisonExpressive.wav,1,0.0145206807264641,0.56674194,0.0764925373134328,0.12050179,0.359839098908407,226.56047514822538,382556.94,0.41368046,0.0141714355,-0.0001732378125985244,3673.703442005135
all_sounds\fr-CA_Bonjour_fr-CA_LouiseV3Voice.wav,1,0.0059687775853644,0.2965088,0.1631189948263119,0.077257864,0.3603809198265813,221.84875755589377,248091.11,0.20814587,0.028529538,-8.52792884604308e-05,9202.422049837844
all_another_words_sounds\en-US_The game was intense!_en-US_MichaelVoice.wav,0,0.0071914611322544,0.49905396,0.1717894624402489,0.084802486,0.5429525150978465,131.81147885076115,413650.6,0.41476133,0.23693103,-0.0001420654649816991,3943.783769448273
all_another_words_sounds\en-GB_It's raining cats and dogs._en-GB_CharlotteV3Voice.wav,0,0.0063907670506645,0.47039795,0.3559539052496799,0.07994227,0.7835290542548448,218.82713668650928,459989.2,0.37495327,0.069552824,-0.00010386092563157688,7939.625984599587
all_another_words_sounds\de-DE_Wie war dein Tag_ _de-DE_BirgitV3Voice.wav,0,0.0105343267469906,0.6520996,0.1650962176509622,0.102636866,0.3905971458721309,202.60978796507274,487688.62,0.37835288,0.06927713,-0.0001549262524261969,5738.56485188142
all_another_words_sounds\de-DE_Lass uns einen Spaziergang machen._de-DE_BirgitV2Voice.wav,0,0.0108330156896021,0.6011963,0.2622362012987013,0.10408177,0.840976360088226,196.2350494416395,820001.9,0.526722,0.05720638,-0.0001737224647411888,4651.859478097459
all_sounds\de-DE_Servus_de-DE_BirgitVoice.wav,1,0.0100672600530076,0.7593994,0.2637752199220972,0.10033574,0.2603611480458124,166.8436404696396,353324.62,0.4445985,0.3463186,-0.00011856876567904821,4638.029851426117
all_another_words_sounds\en-US_Are you ready for the meeting__en-US_EmilyV3Voice.wav,0,0.007492655203473,0.46002197,0.1345574954846478,0.08656012,0.5135456887671123,201.27494379561122,382324.16,0.38581115,0.017459821,-0.00015809242693627483,4059.1393005181285
all_sounds\pt-BR_Como vai__pt-BR_IsabelaVoice.wav,1,0.0321695972432763,0.8182678,0.0813940784442259,0.17935885,0.4438179339161206,198.5155111524721,1356822.2,0.6028528,0.2971306,-0.0002607691610887682,2149.9005200199804
all_another_words_sounds\en-AU_Let's grab a coffee._en-AU_HeidiExpressive.wav,0,0.024813264103259,0.9364929,0.239208156779661,0.15752226,0.6196747812609281,193.687387279454,1151407.4,0.9457429,0.08557884,-0.00030968096513733643,2378.64521231666
all_another_words_sounds\en-US_Let's meet for lunch._en-US_AllisonVoice.wav,0,0.0076786373700071,0.5829773,0.2613313470716433,0.087627836,0.6020254893741306,218.13390840314443,427539.28,0.38880605,0.27561572,-0.0001055758679556205,5834.116089186427
all_sounds\en-US_How’s it going__en-US_MichaelVoice.wav,1,0.0061256059321871,0.6916199,0.0899804305283757,0.07826625,0.3363966719157164,131.55556735986943,240399.14,0.3615735,0.30938572,-0.00014579980877127036,3135.3116116556457
all_another_words_sounds\pt-BR_Qual é o plano para o jantar_ _pt-BR_IsabelaVoice.wav,0,0.0209421744603443,0.83987427,0.1021950958346718,0.14471412,0.7642993314242755,193.48094822516467,1502096.1,0.6698486,0.18161602,-0.00028745351542224006,1840.219407615347
"all_sounds\es-US_Hola, ¿cómo te va__es-US_SofiaVoice.wav",1,0.0222294263514672,0.6196289,0.0504231887846802,0.14909536,0.4696593799304226,188.18337316951897,1044859.75,0.56607777,0.25263602,-0.000245623107016146,1539.0570622425969
all_sounds\fr-CA_Salut_fr-CA_LouiseV3Voice.wav,1,0.0051978767191849,0.51361084,0.3015610651974288,0.0720963,0.2967419187062405,189.2003581992215,173891.39,0.22896615,0.035253488,-6.731676221405644e-05,11342.60433318134
all_another_words_sounds\fr-FR_Le match était intense. _fr-FR_ReneeVoice.wav,0,0.013627398185912,0.6223755,0.2428860519149574,0.11673645,0.5835617823422256,191.11190672623692,837842.75,0.4670731,0.22621761,-0.0001354201204682701,4620.135535766074
all_sounds\pt-BR_Olá_pt-BR_IsabelaV3Voice.wav,1,0.0084138042670636,0.52423096,0.0719008264462809,0.091726795,0.2171270358909236,154.15389412115422,250203.86,0.40105313,0.0022475235,-0.00017383330905737957,3339.196950382157
all_sounds\de-DE_Hi_de-DE_BirgitV3Voice.wav,1,0.0054317203583485,0.27520752,0.2551058530510585,0.073700204,0.2150668273830381,212.11268200190688,133991.02,0.15557721,0.06376007,-5.944868737129264e-05,15389.274679597529
all_sounds\en-US_How’s it going__en-US_EmilyV3Voice.wav,1,0.0098977853586007,0.76782227,0.1509418509418509,0.09948761,0.327391932393812,203.28124665274302,371257.5,0.46227896,0.01598654,-0.00018412397766614898,3878.5951724335814
all_sounds\fr-FR_Comment ça va__fr-FR_ReneeVoice.wav,1,0.0153182659681446,0.7175293,0.1447418447266367,0.12376698,0.3526492270813328,184.39170867760254,618876.9,0.432073,0.30013195,-0.00014984372561906495,3590.458474455978
all_another_words_sounds\it-IT_Che tempo fa oggi_ _it-IT_FrancescaV3Voice.wav,0,0.0053469913709578,0.37503052,0.1746913580246913,0.07312313,0.6120933828203852,183.52553431435413,292710.84,0.29029486,0.045923326,-0.00010850737016380855,7496.667566466392
all_sounds\en-US_What’s up__en-US_MichaelVoice.wav,1,0.0064767789264624,0.671051,0.1154775472988374,0.08047844,0.2679088765790355,151.9629332095539,218216.84,0.3501124,0.36880788,-0.00013172649927471744,3496.7108893595014
all_sounds\en-GB_Hi_en-GB_KateVoice.wav,1,0.0413140845518628,0.99975586,0.0635959673180754,0.20325866,0.2281450867814746,217.28165453861882,1328140.6,0.9366254,0.3667924,-0.00038432883108722375,920.2216510361301
all_another_words_sounds\ja-JP_昼ご飯は何を食べますか__ja-JP_EmiVoice.wav,0,0.0469534431782581,0.83169556,0.1712057922584238,0.21668743,0.9096079676356555,259.69926452258244,3886409.2,1.0416707,0.20914467,-0.00036658798649906205,1814.7947597977131
all_sounds\en-US_Good afternoon_en-US_AllisonVoice.wav,1,0.012646233464598,0.745636,0.0909063389235333,0.11245547,0.5032776643606667,219.73238796001834,641672.94,0.36508504,0.24250907,-0.0001544288047889979,3013.2386155979007
all_another_words_sounds\nl-NL_Ik lees momenteel een boek._nl-NL_MerelV3Voice.wav,0,0.0145673976876057,0.5516052,0.0820357833655706,0.12069547,0.6939376715847839,189.06210344039243,925464.9,0.3761268,0.030981649,-0.00016107933516567783,4648.830896890103
all_sounds\ko-KR_안녕하세요_ko-KR_JinV3Voice.wav,1,0.0026309420945377,0.18759155,0.1963949843260188,0.05129271,0.3833300770409297,224.01522161386222,77346.6,0.24509129,0.006089766,-8.30515592284311e-05,7776.526315467094
all_sounds\it-IT_Buonanotte_it-IT_FrancescaV3Voice.wav,1,0.0049806640625,0.34088135,0.1193818181818181,0.07057382,0.3852200604469396,194.61471954702876,210383.56,0.24634475,0.044062052,-0.00010168959649217942,7868.716053422523
all_another_words_sounds\en-AU_What's on the telly tonight__en-AU_JackExpressive.wav,0,0.0379225969314575,0.93362427,0.2789388020833333,0.19473726,0.6674201995922837,128.36156922373326,1789610.5,1.1940621,0.042733755,-0.00037737291240709476,2034.718689333088
all_sounds\de-DE_Guten Morgen_de-DE_BirgitV3Voice.wav,1,0.0139020722487877,0.59143066,0.1335423197492163,0.11790705,0.3615414716913604,183.25940351929364,544945.44,0.305627,0.062327135,-0.00014132501588943097,5804.051969421079
all_another_words_sounds\it-IT_Prendiamo un caffè_ _it-IT_FrancescaV3Voice.wav,0,0.0073037680093344,0.46969604,0.1980237154150197,0.085462086,0.5863639187689804,221.48643576379794,397362.78,0.3158504,0.036794204,-0.00011855313383880159,6503.75094960943
all_another_words_sounds\ko-KR_저녁은 집에서 먹자._ko-KR_JinV3Voice.wav,0,0.001747255672108,0.24746704,0.218840909090909,0.041800186,0.6098388180491034,236.53793577065096,118089.97,0.17399296,0.14341274,-4.974480447920107e-05,15902.700116341624
all_sounds\en-US_Yo_en-US_KevinV3Voice.wav,1,0.0018848072398792,0.2819214,0.1175591531755915,0.043414366,0.1496345581907546,96.60029348473161,46515.336,0.1357697,0.02440611,-6.128729439167117e-05,11512.39891547646
all_sounds\ja-JP_おはようございます_ja-JP_EmiV3Voice.wav,1,0.017139713435978,0.6390686,0.2729350649350649,0.13091873,0.6146459690747258,295.24376487008897,1013577.94,0.5190116,0.03448789,-0.00017555222645451813,5029.289170142065
all_another_words_sounds\de-DE_Ich brauche einen Kaffee._de-DE_BirgitVoice.wav,0,0.0165661723302563,0.780365,0.1569143160485486,0.12870964,0.6944040995711762,190.8045710783027,1054551.5,0.63609326,0.1967664,-0.00024003280701434478,2311.8701887370194
all_another_words_sounds\nl-NL_Wat eten we vanavond__nl-NL_MerelV3Voice.wav,0,0.009125088444153,0.5852661,0.1894304490690032,0.09552533,0.5814333239869091,192.09116865517993,511873.4,0.3507377,0.026841197,-0.00013415132512975298,6187.988069708836
all_sounds\en-US_Good evening_en-US_EmmaExpressive.wav,1,0.0044790118932724,0.30551147,0.0955729166666666,0.06692542,0.2900058815965478,220.90277530839916,105675.68,0.31610984,0.007187007,-0.00010469092184455547,6142.60106862932
all_sounds\it-IT_Buonanotte_it-IT_FrancescaV2Voice.wav,1,0.0049806640625,0.34088135,0.1193818181818181,0.07057382,0.3852200604469396,194.61471954702876,210383.56,0.24634475,0.044062052,-0.00010168959649217942,7868.716053422523
all_sounds\en-US_What’s up__en-US_EmmaExpressive.wav,1,0.007553774213034,0.49874878,0.2223462301587301,0.08691245,0.351397522573973,265.5153727049229,187128.52,0.5457364,0.099166885,-0.00017779534319316474,4106.986529936252
all_another_words_sounds\en-US_Are you ready for the meeting__en-US_AllisonVoice.wav,0,0.0123822160390401,0.46588135,0.1022012187538863,0.111275405,0.677192480403161,229.82238144309127,764668.44,0.38956785,0.20571984,-0.00016384447803035717,2976.7425806573124
all_another_words_sounds\en-US_I'm working from home._en-US_AllisonVoice.wav,0,0.0107367787438321,0.7102356,0.1142300090807115,0.10361843,0.5794955962077408,236.01921790957653,617484.25,0.38979885,0.23324634,-0.00016592055943030756,2712.4730346775204
all_another_words_sounds\ko-KR_책을 읽고 있어요._ko-KR_JinV3Voice.wav,0,0.0013178565285422,0.17990112,0.1941745036572622,0.036302295,0.5237924545127537,227.61081669672407,77487.62,0.14833245,0.09912449,-4.21500496844506e-05,19759.226583330605
all_sounds\es-US_Qué tal__es-US_SofiaVoice.wav,1,0.0089637833305552,0.5677185,0.0628461234177215,0.09467726,0.2633226297600098,188.99451944966,278459.97,0.31271794,0.38834888,-0.0001245954299290386,3276.811324858753
all_sounds\ja-JP_おやすみなさい_ja-JP_EmiVoice.wav,1,0.0570330179569148,0.82888794,0.2826036290993841,0.23881586,0.4424896315177909,266.7406231728804,2633357.5,1.0461949,0.2742507,-0.0003252629848229974,2090.499505231228
all_sounds\en-US_Hi_en-US_AllisonExpressive.wav,1,0.0046904699310012,0.34976196,0.1678838315217391,0.068487,0.2684790854266571,220.9746490077658,84841.266,0.33583057,0.057349082,-0.0001294856677702724,6734.326497421443
all_sounds\de-DE_Hallo_de-DE_DieterV3Voice.wav,1,0.0040247888276071,0.39846802,0.1104978354978355,0.063441224,0.2392142266530382,149.5862056315296,114245.17,0.31631154,0.08808306,-0.0001305092884997908,7432.586805337484
all_another_words_sounds\en-GB_I'm off to the shops._en-GB_KateVoice.wav,0,0.0205445019301064,0.9187317,0.2776370064820271,0.14333352,0.4272995085731054,189.74064198493804,1071051.4,0.86473423,0.26241615,-0.0002617075761336015,2329.1908516283484
all_sounds\ko-KR_좋은 아침_ko-KR_JinV3Voice.wav,1,0.0021407949836599,0.22085571,0.3245085995085995,0.046268724,0.3494145039416154,227.67275461777686,53438.312,0.2206642,0.028747365,-5.747924392486019e-05,11976.054476594552
all_sounds\ja-JP_お疲れ様です_ja-JP_EmiVoice.wav,1,0.0297873180741805,0.8479004,0.3249042145593869,0.17259003,0.6230358137515258,254.3398800767305,1613012.5,0.85588956,0.2507655,-0.00022159121123706466,3156.3679021744047
all_another_words_sounds\en-US_Have you seen the latest movie__en-US_AllisonVoice.wav,0,0.0099882234639737,0.50476074,0.2191116939392211,0.0999411,1.066294890441272,231.94690476471536,807247.6,0.38284042,0.17335624,-0.0001159165617324407,5089.199928834058
all_sounds\ja-JP_どうも_ja-JP_EmiV3Voice.wav,1,0.0186546413377783,0.6788025,0.0943573667711598,0.13658199,0.2249483911249594,191.57403944106989,548428.94,0.42326283,0.05819084,-0.000185116328074596,5027.966242685649
all_another_words_sounds\en-AU_Did you catch the footy__en-AU_JackExpressive.wav,0,0.0305640143577498,0.9347534,0.2873263888888889,0.17482567,0.5138421844642396,153.09808048267627,1189851.1,1.0764617,0.10639447,-0.0003152050829780691,2335.012861002186
all_another_words_sounds\en-US_I’m going for a run._en-US_AllisonExpressive.wav,0,0.0287076891685018,0.578949,0.1224489795918367,0.16943343,0.5207784113714786,265.630367254042,1106262.8,0.64472204,0.025547652,-0.0002765323944487579,2315.2852901377883
all_another_words_sounds\ja-JP_これは美味しいですね_ja-JP_EmiV3Voice.wav,0,0.0200741503804205,0.66711426,0.2849529780564263,0.14168327,0.6060792498608476,296.3850901164753,1180324.2,0.5578585,0.037940193,-0.00017823162908746945,4902.461940087648
all_sounds\en-US_Hi_en-US_EmmaExpressive.wav,1,0.0059172201615113,0.5299988,0.1783353365384615,0.07692347,0.3091452093725406,203.88587831876612,120991.05,0.50749385,0.09323341,-0.0001862115963304488,4082.161344153008
all_another_words_sounds\en-GB_The match was thrilling._en-GB_CharlotteV3Voice.wav,0,0.0050092249638241,0.35638428,0.3002721829069134,0.07077588,0.6058756667367986,189.91295853203164,282684.3,0.3372918,0.0778732,-0.00011344110856237835,7601.405620945013
all_sounds\en-US_Howdy_en-US_AllisonV3Voice.wav,1,0.0036846531058478,0.43804932,0.1453524004085802,0.060701344,0.2624897898777295,187.66877598211664,110821.93,0.21121125,0.044977367,-8.550058368704868e-05,10779.822841672654
all_another_words_sounds\en-US_I’m going for a run._en-US_KevinV3Voice.wav,0,0.006767289534859,0.49780273,0.1413043478260869,0.08226354,0.4112885780777713,108.40142870224966,315619.44,0.3150856,0.024445618,-0.00014144012317328844,4390.978296669414
all_sounds\en-US_How’s it going__en-US_AllisonV3Voice.wav,1,0.008576179837088,0.40615845,0.1456023651145602,0.09260767,0.4528723258857021,245.2412688287013,356470.7,0.33971828,0.03155142,-0.00012011304712628683,6630.123854673516
all_another_words_sounds\en-US_Are you ready for the meeting__en-US_MichaelVoice.wav,0,0.0122113741361177,0.6993408,0.0734615384615384,0.11050509,0.4777328917324062,129.33862696673305,633976.3,0.47867048,0.24565212,-0.0002016149499653045,1962.778557082831
all_sounds\fr-FR_Bonne nuit_fr-FR_ReneeVoice.wav,1,0.0263462439552051,0.6411133,0.0366918250431936,0.16231526,0.2969794455612459,196.2341144241856,890056.4,0.34769368,0.34983984,-0.00015604864167857358,1891.0272741738884
all_sounds\fr-FR_Comment ça va__fr-FR_ReneeV3Voice.wav,1,0.0095380440661705,0.4567871,0.2032085561497326,0.09766291,0.41282647853419,195.9687788443701,383552.3,0.293578,0.014693455,-9.796861435507961e-05,8480.45658374128
all_sounds\it-IT_Salve_it-IT_FrancescaV2Voice.wav,1,0.0039037440906871,0.4055481,0.2892727272727273,0.06247995,0.3125885256634023,176.15989176443358,131915.39,0.3120007,0.054976508,-7.637661447429694e-05,9116.053535531353
all_another_words_sounds\nl-NL_Ik heb koffie nodig. _nl-NL_MerelV3Voice.wav,0,0.0103789148251872,0.63272095,0.1390633608815427,0.10187696,0.640081324772325,152.81368223466663,578700.75,0.32612267,0.055230472,-0.0001350125918726758,7000.131319928913
all_sounds\en-US_How’s it going__en-US_AllisonExpressive.wav,1,0.0161357962566873,0.5516968,0.1897078804347826,0.12702675,0.4298650524670962,254.89708198384167,437797.44,0.5958198,0.023588324,-0.00022839343570203353,3049.977271177123
all_another_words_sounds\it-IT_Prendiamo un caffè_ _it-IT_FrancescaVoice.wav,0,0.0149658869626139,0.8102722,0.1812867003193571,0.12233514,0.7138005303437713,198.79561353641745,892570.5,0.53788644,0.22046785,-0.00018993411001275032,3155.007303996527
all_another_words_sounds\nl-NL_Ik ga naar de supermarkt._nl-NL_MerelV3Voice.wav,0,0.0083943893630783,0.4800415,0.1603636363636363,0.0916209,0.6181310136251299,173.29840396053547,496414.9,0.38694066,0.055866152,-0.00014051288696082306,6208.084504946922
all_another_words_sounds\en-AU_I'm heading to the beach._en-AU_JackExpressive.wav,0,0.0342480253290247,0.91763306,0.1851128472222222,0.18506221,0.5129068754290803,129.0033016736707,1454471.5,0.9471656,0.09420762,-0.0003024383932069205,2198.692353593002
all_sounds\en-US_What’s up__en-US_KevinV3Voice.wav,1,0.0016854157714175,0.28671265,0.204709748083242,0.041053817,0.193723448440509,95.17664380140549,47283.46,0.19753072,0.04101192,-5.914730770776305e-05,11011.668032715823
all_another_words_sounds\fr-CA_Le souper est prêt._fr-CA_LouiseV3Voice.wav,0,0.0038436182378011,0.40930176,0.237200956937799,0.061996922,0.4727392738320384,227.04466683856867,197424.05,0.26406685,0.025749683,-8.466881771496254e-05,8839.819609290842
all_another_words_sounds\en-GB_I'm heading to the pub._en-GB_JamesV3Voice.wav,0,0.0029132909199001,0.39846802,0.1121790423317141,0.053974908,0.4226390442672069,121.78236749227818,128965.67,0.27774948,0.03661434,-0.00011770783174285417,6272.401081022956
all_sounds\de-DE_Hallo_de-DE_BirgitV2Voice.wav,1,0.0100185367011439,0.58374023,0.1658835546475996,0.10009264,0.2558442792334292,175.30733285535118,301307.94,0.29553914,0.089730345,-0.00012833817098569574,7780.617255830464
all_another_words_sounds\en-US_Have you seen the latest movie__en-US_KevinV3Voice.wav,0,0.0046573966652244,0.40246582,0.1937562437562437,0.06824512,0.596950007406898,111.37693638221674,286668.72,0.2824531,0.032886337,-9.534005084268155e-05,6492.254039001393
all_another_words_sounds\de-DE_Das Wetter ist fantastisch._de-DE_BirgitVoice.wav,0,0.01067890520785,0.71380615,0.3149750608978077,0.103338785,0.7694290999038228,179.88036012177704,707072.94,0.6113292,0.21087658,-0.00017156152104913676,3880.423457411142
